Unnamed: 0,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Brazil,Chile,China,Czech Republic,Germany,Denmark,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Thailand,Turkey,United States,Viet Nam,World (WBG members)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994Q1,894457.2,,13991.15,,,,8572.512,,,,124898.2,,,,,,27883.87,,,,918124.0,34909.07,,,7411.867,,,,,97365.46,,36488.05,43601.85,,26266.62,,,,,8113.266,3090.358,2099.348,7029.951,,,,25737.44,,,23042.87,129.0738,198398.2,1101.131,
1994Q2,961490.1,,14889.06,,,,10110.66,,,,129461.5,,,,,,32976.93,,,,986930.5,42925.08,,,7293.483,,,,,101262.9,,39033.25,48008.75,,28310.01,,,,,8181.166,3369.039,2251.24,7792.052,,,,29247.68,,,23973.76,178.8983,212985.2,1228.171,
1994Q3,981819.0,,17082.54,,,,10685.54,,,,127765.7,,,,,,29351.35,,,,1007797.0,44157.7,,,6968.184,,,,,104592.7,,38849.14,49007.9,,28415.89,,,,,8511.98,3880.913,2416.934,7315.788,,,,29854.83,,,23851.92,178.8871,223753.3,1304.746,
1994Q4,1034726.0,,17336.56,,,,16367.21,,,,138532.5,,,,,,34246.83,,,,1062104.0,45209.01,,,8126.76,,,,,107490.4,,43073.05,58899.07,,30786.24,,,,,8840.579,4298.672,2744.473,8085.629,,,,30121.86,,,25160.89,252.3439,231697.5,1347.076,
1995Q1,1003809.0,,17020.44,,75219.75,,16720.66,,,,137016.5,,,,,,33555.51,,8526.187,,1030369.0,42295.3,,,8304.118,,6040.473,,,107114.9,,43093.34,52787.58,,25044.6,,,,,8852.014,3539.568,2955.15,7715.282,,,,28566.93,,,26859.61,268.4612,223151.7,1459.251,
1995Q2,1051410.0,,16846.21,,76255.99,,18334.19,,,,138782.1,,,,,,35672.89,,9027.55,,1079229.0,48874.23,,,8121.947,,5586.458,,,114072.6,,47337.49,52372.24,,23077.68,,,,,9056.698,3856.559,2956.679,8647.399,,,,31662.43,,,27787.03,334.5391,232343.3,1739.341,1355403.0
1995Q3,1055088.0,,17702.58,,76041.25,,16353.8,,,,134085.7,,,,,,32693.76,,8547.258,,1083005.0,49871.36,,,8114.328,,5746.86,,,115832.4,,48159.83,51558.7,,24157.03,,,,,8528.867,4069.284,3168.513,8791.995,,,,34084.47,,,28080.45,385.5843,236738.5,1702.348,1359314.0
1995Q4,1099360.0,,17962.01,,76544.87,,16228.52,,,,144244.6,,,,,,36300.58,,9720.21,,1128448.0,48906.01,,,9603.752,,6440.216,,,124995.0,,50355.83,53904.58,,26269.12,,,,,9751.049,4128.86,3169.069,9129.853,,,,35539.25,,,27260.86,545.2798,238462.7,1791.426,1413653.0
1996Q1,1079660.0,,17405.47,,76969.85,,14229.59,,,,142316.3,,,,,,34751.9,,9645.786,,1108227.0,44346.71,,,9660.108,,6747.357,88014.04,,122079.0,,51349.16,51980.6,,27048.69,,,,55764.25,9596.78,3689.125,2758.482,9330.79,,,,34734.32,,,24837.58,607.62,231052.2,2069.136,1384962.0
